open,close,dir,entry,sl,tp,exit,r,why,hold_h
2016-06-15 16:45,2016-06-15 21:00,buy,1284.01,1279.86,1292.32,1292.32,2.000,tp,4.25
2016-06-15 22:45,2016-06-16 09:00,buy,1294.70,1288.13,1307.85,1307.85,2.000,tp,9.25
2016-06-16 14:00,2016-06-16 17:15,buy,1305.72,1302.09,1312.99,1312.99,2.000,tp,3.25
2016-06-17 22:45,2016-06-20 01:00,buy,1298.33,1294.92,1305.16,1294.92,-1.000,sl,1.25
2016-06-24 07:45,2016-06-24 12:00,buy,1337.36,1307.49,1397.10,1307.49,-1.000,sl,4.25
2016-06-24 14:30,2016-06-24 17:00,buy,1320.87,1310.67,1341.27,1310.67,-1.000,sl,2.50
2016-06-24 21:30,2016-06-27 01:45,buy,1317.76,1312.21,1328.85,1328.85,2.000,tp,3.25
2016-06-27 04:30,2016-06-27 18:15,buy,1329.33,1322.16,1343.67,1322.16,-1.000,sl,13.75
2016-06-27 20:30,2016-06-28 04:15,buy,1325.20,1320.64,1334.31,1320.64,-1.000,sl,6.75
2016-06-29 04:00,2016-06-29 17:30,buy,1318.01,1314.74,1324.54,1324.54,2.000,tp,13.50
2016-06-29 17:30,2016-06-29 22:45,buy,1325.28,1319.64,1336.55,1319.64,-1.000,sl,5.25
2016-06-30 11:45,2016-06-30 13:00,buy,1318.81,1315.63,1325.17,1315.63,-1.000,sl,1.25
2016-06-30 17:45,2016-06-30 19:30,buy,1319.55,1315.18,1328.28,1315.18,-1.000,sl,1.75
2016-07-01 01:00,2016-07-01 04:15,buy,1322.93,1320.16,1328.46,1328.46,2.000,tp,3.25
2016-07-01 07:30,2016-07-01 16:30,buy,1330.72,1326.76,1338.63,1338.63,2.000,tp,9.00
2016-07-01 16:30,2016-07-01 17:15,buy,1340.04,1335.82,1348.47,1335.82,-1.000,sl,0.75
2016-07-01 22:45,2016-07-01 23:00,buy,1344.55,1340.96,1351.73,1340.96,-1.000,sl,0.25
2016-07-04 08:30,2016-07-05 04:30,buy,1348.65,1341.72,1362.51,1341.72,-1.000,sl,15.00
2016-07-05 09:45,2016-07-05 16:30,buy,1344.88,1342.02,1350.61,1350.61,2.000,tp,6.75
2016-07-05 16:30,2016-07-05 17:30,buy,1351.62,1347.00,1360.86,1347.00,-1.000,sl,1.00
2016-07-05 23:00,2016-07-06 02:15,buy,1356.53,1352.90,1363.79,1363.79,2.000,tp,2.25
2016-07-06 08:45,2016-07-06 09:30,buy,1370.35,1366.75,1377.56,1366.75,-1.000,sl,0.75
2016-07-06 15:45,2016-07-06 16:15,buy,1371.04,1366.24,1380.64,1366.24,-1.000,sl,0.50
2016-07-06 22:15,2016-07-07 14:00,buy,1366.43,1361.50,1376.29,1361.50,-1.000,sl,14.75
2016-07-11 01:45,2016-07-11 03:00,buy,1372.55,1367.18,1383.29,1367.18,-1.000,sl,1.25
2016-07-28 14:00,2016-07-28 17:30,buy,1341.59,1339.26,1346.25,1339.26,-1.000,sl,3.50
2016-07-28 22:45,2016-07-29 06:30,buy,1337.23,1334.59,1342.50,1334.59,-1.000,sl,6.75
2016-07-29 07:15,2016-07-29 08:00,buy,1341.62,1336.03,1352.79,1336.03,-1.000,sl,0.75
2016-07-29 13:30,2016-07-29 15:30,buy,1334.72,1331.81,1340.54,1340.54,2.000,tp,2.00
2016-07-29 20:00,2016-08-01 21:00,buy,1348.22,1344.02,1356.62,1353.09,1.159,time,24.00
2016-08-01 21:00,2016-08-02 04:00,buy,1353.34,1350.29,1359.44,1350.29,-1.000,sl,6.00
2016-08-02 08:30,2016-08-02 09:00,buy,1350.14,1348.70,1353.02,1353.02,2.000,tp,0.50
2016-08-02 14:45,2016-08-02 15:45,buy,1359.09,1356.61,1364.06,1364.06,2.000,tp,1.00
2016-08-02 22:30,2016-08-02 23:00,buy,1365.75,1363.86,1369.54,1363.86,-1.000,sl,0.50
2016-08-03 06:30,2016-08-03 16:00,buy,1363.42,1361.57,1367.12,1361.57,-1.000,sl,9.50
2016-08-03 23:45,2016-08-04 02:45,buy,1358.40,1356.58,1362.03,1356.58,-1.000,sl,2.00
2016-08-04 19:30,2016-08-04 22:45,buy,1362.86,1359.86,1368.86,1359.86,-1.000,sl,3.25
2016-08-05 04:00,2016-08-05 15:15,buy,1361.59,1359.59,1365.59,1359.59,-1.000,sl,11.25
2016-08-10 21:00,2016-08-11 04:00,buy,1347.92,1344.91,1353.94,1344.91,-1.000,sl,6.00
2016-08-11 13:30,2016-08-11 17:00,buy,1345.25,1342.58,1350.58,1350.58,2.000,tp,3.50
2016-08-16 19:45,2016-08-17 05:00,buy,1348.50,1344.40,1356.69,1344.40,-1.000,sl,8.25
2016-08-17 17:45,2016-08-17 20:30,buy,1346.99,1343.24,1354.49,1343.24,-1.000,sl,2.75
2016-08-17 23:45,2016-08-19 01:45,buy,1348.69,1343.40,1359.26,1351.68,0.566,time,24.00
2016-08-19 09:45,2016-08-19 10:15,buy,1348.97,1346.59,1353.73,1346.59,-1.000,sl,0.50
2016-09-07 02:30,2016-09-07 11:00,buy,1349.45,1347.41,1353.54,1347.41,-1.000,sl,8.50
2016-09-07 15:15,2016-09-07 17:00,buy,1349.41,1347.11,1354.01,1347.11,-1.000,sl,1.75
2016-09-07 22:15,2016-09-08 02:15,buy,1345.98,1344.13,1349.67,1344.13,-1.000,sl,3.00
2016-09-08 05:30,2016-09-08 16:00,buy,1346.86,1343.77,1353.04,1343.77,-1.000,sl,10.50
2016-09-22 07:45,2016-09-22 08:45,buy,1333.47,1332.30,1335.80,1332.30,-1.000,sl,1.00
2016-09-22 14:00,2016-09-22 15:00,buy,1334.28,1332.77,1337.30,1332.77,-1.000,sl,1.00
2016-09-23 04:00,2016-09-23 04:15,buy,1338.03,1336.55,1340.99,1336.55,-1.000,sl,0.25
2016-09-23 10:00,2016-09-23 13:30,buy,1335.51,1334.06,1338.41,1338.41,2.000,tp,3.50
