date,trades,pl_pct,state
2025-01-29,3,-1.493,stop
2025-01-30,3,1.076,target
2025-01-31,5,-0.211,
2025-02-03,2,1.000,target
2025-02-04,7,-0.043,
2025-02-05,4,1.428,target
2025-02-06,3,0.829,
2025-02-07,4,0.285,
2025-02-10,4,1.265,target
2025-02-11,2,1.291,target
2025-02-12,2,1.303,target
2025-02-13,5,-0.334,
2025-02-14,5,-1.251,stop
2025-02-17,3,-0.339,
2025-02-18,2,1.255,target
2025-02-19,2,1.285,target
2025-02-20,3,-1.183,stop
2025-02-21,2,1.335,target
2025-02-24,3,-1.036,stop
2025-02-25,3,0.856,
2025-02-26,3,-1.493,stop
2025-02-27,4,1.096,target
2025-02-28,2,1.344,target
2025-03-03,5,-1.328,stop
2025-03-04,4,1.081,target
2025-03-05,3,-1.034,stop
2025-03-06,4,1.271,target
2025-03-07,5,-1.008,stop
2025-03-10,4,0.357,
2025-03-11,7,-1.027,stop
2025-03-12,6,-0.344,
2025-03-13,9,1.097,target
2025-03-14,6,-0.679,
2025-03-17,5,-1.094,stop
2025-03-18,3,-1.073,stop
2025-03-19,2,1.115,target
2025-03-20,2,1.098,target
2025-03-21,6,1.157,target
2025-03-24,5,-1.094,stop
2025-03-25,4,0.324,
2025-03-26,3,-1.103,stop
2025-03-27,7,-0.517,
2025-03-28,2,1.002,target
2025-03-31,7,-0.421,
2025-04-01,6,0.479,
2025-04-02,5,-1.352,stop
2025-04-03,5,1.114,target
2025-04-04,4,1.469,target
2025-04-07,3,-1.493,stop
2025-04-08,4,1.151,target
2025-04-09,5,1.120,target
2025-04-10,5,1.136,target
2025-04-11,2,1.403,target
2025-04-14,5,-1.173,stop
2025-04-15,3,-1.493,stop
2025-04-16,2,1.340,target
2025-04-17,5,-1.285,stop
2025-04-21,2,1.391,target
2025-04-22,4,1.025,target
2025-04-23,2,1.456,target
2025-04-24,5,-1.017,stop
2025-04-25,5,-0.087,
2025-04-28,3,-1.493,stop
2025-04-29,1,0.701,
2025-04-30,3,-1.060,stop
2025-05-01,7,-1.093,stop
2025-05-02,5,-1.305,stop
2025-05-05,2,1.385,target
2025-05-06,3,-1.102,stop
2025-05-07,3,-1.493,stop
2025-05-08,5,1.143,target
2025-05-09,6,-0.614,
2025-05-12,6,-0.391,
2025-05-13,5,-1.005,stop
2025-05-14,4,1.603,target
2025-05-15,2,1.397,target
2025-05-16,5,-0.117,
2025-05-19,2,1.019,target
2025-05-20,2,1.001,target
2025-05-21,5,-1.275,stop
2025-05-22,7,-1.121,stop
2025-05-23,4,1.597,target
2025-05-26,4,-0.829,
2025-05-27,7,-0.015,
2025-05-28,3,-1.343,stop
2025-05-29,4,1.120,target
2025-05-30,3,-1.331,stop
2025-06-02,4,1.536,target
2025-06-03,5,-0.159,
