open,close,dir,tag,r,why,hold_h
2023-11-23 17:45,2023-11-24 01:15,buy,trend,0.288,time,4.00
2023-11-23 18:45,2023-11-24 02:15,buy,trend,0.570,time,4.00
2023-11-23 19:45,2023-11-24 03:15,buy,trend,0.033,time,4.00
2023-11-23 20:45,2023-11-24 04:15,buy,trend,0.040,time,4.00
2023-11-24 01:45,2023-11-24 05:45,buy,trend,-0.227,time,4.00
2023-11-24 02:45,2023-11-24 06:45,buy,trend,-0.097,time,4.00
2023-11-24 03:45,2023-11-24 07:45,buy,trend,0.362,time,4.00
2023-11-24 04:45,2023-11-24 08:45,buy,trend,0.329,time,4.00
2023-11-24 05:45,2023-11-24 09:45,buy,trend,-0.114,time,4.00
2023-11-24 06:45,2023-11-24 10:45,buy,trend,-0.176,time,4.00
2023-11-24 07:45,2023-11-24 11:45,buy,trend,0.032,time,4.00
2023-11-24 08:45,2023-11-24 12:45,buy,trend,0.601,time,4.00
2023-11-24 09:45,2023-11-24 13:45,buy,trend,0.479,time,4.00
2023-11-24 10:45,2023-11-24 14:00,buy,trend,1.000,tp,3.25
2023-11-24 11:45,2023-11-24 15:15,buy,trend,1.000,tp,3.50
2023-11-24 12:45,2023-11-24 15:30,buy,trend,1.000,tp,2.75
2023-11-24 13:45,2023-11-24 15:30,buy,trend,1.000,tp,1.75
2023-11-24 14:45,2023-11-24 15:30,buy,trend,1.000,tp,0.75
2023-11-24 16:45,2023-11-24 17:30,buy,trend,-1.000,sl,0.75
2023-11-24 15:45,2023-11-24 19:45,buy,trend,0.306,time,4.00
2023-11-24 17:45,2023-11-27 01:45,buy,trend,1.000,tp,3.75
2023-11-24 18:45,2023-11-27 03:00,buy,trend,1.000,tp,4.00
2023-11-24 19:45,2023-11-27 03:00,buy,trend,1.000,tp,3.00
2023-11-27 01:45,2023-11-27 03:15,buy,trend,1.000,tp,1.50
2023-11-27 02:45,2023-11-27 03:15,buy,trend,1.000,tp,0.50
2023-11-27 03:45,2023-11-27 07:45,buy,trend,-0.263,time,4.00
2023-11-27 04:45,2023-11-27 08:45,buy,trend,-0.296,time,4.00
2023-11-27 05:45,2023-11-27 09:45,buy,trend,0.172,time,4.00
2023-11-27 06:45,2023-11-27 10:45,buy,trend,0.087,time,4.00
2023-11-27 07:45,2023-11-27 11:45,buy,trend,0.339,time,4.00
2023-11-27 08:45,2023-11-27 12:45,buy,trend,0.625,time,4.00
2023-11-27 09:45,2023-11-27 13:45,buy,trend,0.209,time,4.00
2023-11-27 10:45,2023-11-27 14:45,buy,trend,-0.070,time,4.00
2023-11-27 11:45,2023-11-27 15:45,buy,trend,-0.361,time,4.00
2023-11-27 12:45,2023-11-27 16:45,buy,trend,-0.504,time,4.00
2023-11-27 13:45,2023-11-27 17:45,buy,trend,-0.396,time,4.00
2023-11-27 14:45,2023-11-27 18:30,buy,trend,-1.000,sl,3.75
2023-11-27 15:45,2023-11-27 19:45,buy,trend,-0.239,time,4.00
2023-11-27 16:45,2023-11-27 20:45,buy,trend,0.095,time,4.00
2023-11-27 17:45,2023-11-27 21:45,buy,trend,0.405,time,4.00
2023-11-27 18:45,2023-11-27 22:45,buy,trend,0.602,time,4.00
2023-11-27 19:45,2023-11-27 23:45,buy,trend,0.716,time,4.00
2023-11-27 20:45,2023-11-28 01:45,buy,trend,0.477,time,4.00
2023-11-27 21:45,2023-11-28 02:45,buy,trend,0.762,time,4.00
2023-11-27 22:45,2023-11-28 03:45,buy,trend,0.114,time,4.00
2023-11-27 23:45,2023-11-28 04:45,buy,trend,0.147,time,4.00
2023-11-28 01:45,2023-11-28 05:45,buy,trend,-0.111,time,4.00
2023-11-28 02:45,2023-11-28 06:45,buy,trend,-0.414,time,4.00
2023-11-28 03:45,2023-11-28 07:45,buy,trend,-0.091,time,4.00
2023-11-28 04:45,2023-11-28 08:45,buy,trend,0.088,time,4.00
2023-11-28 05:45,2023-11-28 09:45,buy,trend,-0.329,time,4.00
2023-11-28 06:45,2023-11-28 10:45,buy,trend,-0.032,time,4.00
2023-11-28 07:45,2023-11-28 11:45,buy,trend,0.112,time,4.00
2023-11-28 08:45,2023-11-28 12:45,buy,trend,-0.379,time,4.00
2023-11-28 09:45,2023-11-28 13:45,buy,trend,0.345,time,4.00
2023-11-28 10:45,2023-11-28 14:45,buy,trend,-0.302,time,4.00
2023-11-28 11:45,2023-11-28 15:15,buy,trend,-1.000,sl,3.50
2023-11-28 12:45,2023-11-28 15:30,buy,trend,1.000,tp,2.75
2023-11-28 13:45,2023-11-28 15:30,buy,trend,1.000,tp,1.75
2023-11-28 14:45,2023-11-28 15:30,buy,trend,1.000,tp,0.75
2023-11-28 15:45,2023-11-28 16:15,buy,trend,1.000,tp,0.50
2023-11-28 16:45,2023-11-28 18:00,buy,trend,1.000,tp,1.25
2023-11-28 17:45,2023-11-28 18:15,buy,trend,1.000,tp,0.50
2023-11-28 18:45,2023-11-28 22:45,buy,trend,0.187,time,4.00
2023-11-28 19:45,2023-11-28 23:45,buy,trend,0.024,time,4.00
2023-11-28 20:45,2023-11-29 01:45,buy,trend,0.688,time,4.00
2023-11-28 21:45,2023-11-29 02:45,buy,trend,1.000,tp,4.00
2023-11-28 22:45,2023-11-29 02:45,buy,trend,1.000,tp,3.00
2023-11-28 23:45,2023-11-29 02:45,buy,trend,1.000,tp,2.00
2023-11-29 01:45,2023-11-29 03:00,buy,trend,1.000,tp,1.25
2023-11-29 02:45,2023-11-29 06:45,buy,trend,-0.483,time,4.00
2023-11-29 03:45,2023-11-29 07:45,buy,trend,-0.427,time,4.00
2023-11-29 04:45,2023-11-29 08:45,buy,trend,-0.327,time,4.00
2023-11-29 05:45,2023-11-29 09:45,buy,trend,-0.223,time,4.00
2023-11-29 06:45,2023-11-29 10:45,buy,trend,-0.524,time,4.00
2023-11-29 07:45,2023-11-29 11:30,buy,trend,-1.000,sl,3.75
2023-11-29 08:45,2023-11-29 11:30,buy,trend,-1.000,sl,2.75
2023-11-29 09:45,2023-11-29 11:30,buy,trend,-1.000,sl,1.75
2023-11-29 10:45,2023-11-29 11:30,buy,trend,-1.000,sl,0.75
2023-11-29 11:45,2023-11-29 15:45,buy,trend,0.072,time,4.00
2023-11-29 12:45,2023-11-29 16:30,buy,trend,1.000,tp,3.75
2023-11-29 13:45,2023-11-29 17:00,buy,trend,1.000,tp,3.25
2023-11-29 15:45,2023-11-29 17:00,buy,trend,1.000,tp,1.25
2023-11-29 14:45,2023-11-29 18:45,buy,trend,0.084,time,4.00
2023-11-29 16:45,2023-11-29 20:45,buy,trend,0.499,time,4.00
2023-11-29 18:45,2023-11-29 21:00,buy,trend,1.000,tp,2.25
2023-11-29 17:45,2023-11-29 21:45,buy,trend,0.447,time,4.00
2023-11-29 19:45,2023-11-29 23:45,buy,trend,-0.164,time,4.00
2023-11-29 20:45,2023-11-30 01:45,buy,trend,-0.505,time,4.00
2023-11-29 21:45,2023-11-30 02:45,buy,trend,0.016,time,4.00
2023-11-29 22:45,2023-11-30 03:45,buy,trend,-0.210,time,4.00
2023-11-29 23:45,2023-11-30 04:45,buy,trend,0.227,time,4.00
2023-11-30 01:45,2023-11-30 05:45,buy,trend,0.191,time,4.00
2023-11-30 02:45,2023-11-30 06:45,buy,trend,-0.401,time,4.00
2023-11-30 03:45,2023-11-30 07:45,buy,trend,-0.287,time,4.00
2023-11-30 04:45,2023-11-30 08:45,buy,trend,-0.066,time,4.00
2023-11-30 05:45,2023-11-30 09:45,buy,trend,-0.292,time,4.00
2023-11-30 06:45,2023-11-30 10:45,buy,trend,-0.707,time,4.00
2023-11-30 08:45,2023-11-30 10:45,buy,trend,-1.000,sl,2.00
2023-11-30 07:45,2023-11-30 11:45,buy,trend,-0.406,time,4.00
2023-11-30 09:45,2023-11-30 11:45,buy,trend,-1.000,sl,2.00
2023-11-30 10:45,2023-11-30 14:45,buy,trend,-0.477,time,4.00
2023-11-30 12:45,2023-11-30 15:30,buy,trend,1.000,tp,2.75
2023-11-30 13:45,2023-11-30 15:30,buy,trend,1.000,tp,1.75
2023-11-30 14:45,2023-11-30 15:30,buy,trend,1.000,tp,0.75
2023-11-30 11:45,2023-11-30 15:45,buy,trend,-1.000,sl,4.00
2023-11-30 15:45,2023-11-30 16:30,buy,trend,-1.000,sl,0.75
2023-11-30 16:45,2023-11-30 20:45,buy,trend,-0.276,time,4.00
2023-11-30 17:45,2023-11-30 21:45,buy,trend,-0.277,time,4.00
2023-11-30 18:45,2023-11-30 22:45,buy,trend,-0.532,time,4.00
2023-11-30 19:45,2023-11-30 23:45,buy,trend,-0.159,time,4.00
2023-11-30 20:45,2023-12-01 01:45,buy,trend,0.666,time,4.00
2023-11-30 21:45,2023-12-01 02:45,buy,trend,0.766,time,4.00
2023-11-30 23:45,2023-12-01 03:00,buy,trend,1.000,tp,2.25
2023-11-30 22:45,2023-12-01 03:45,buy,trend,0.748,time,4.00
2023-12-01 01:45,2023-12-01 05:45,buy,trend,-0.137,time,4.00
2023-12-01 02:45,2023-12-01 06:45,buy,trend,-0.310,time,4.00
2023-12-01 03:45,2023-12-01 07:45,buy,trend,-0.143,time,4.00
2023-12-01 04:45,2023-12-01 08:45,buy,trend,-0.006,time,4.00
2023-12-01 05:45,2023-12-01 09:45,buy,trend,-0.032,time,4.00
2023-12-01 06:45,2023-12-01 10:45,buy,trend,1.000,tp,4.00
2023-12-01 07:45,2023-12-01 10:45,buy,trend,1.000,tp,3.00
2023-12-01 08:45,2023-12-01 10:45,buy,trend,1.000,tp,2.00
2023-12-01 09:45,2023-12-01 10:45,buy,trend,1.000,tp,1.00
2023-12-01 11:45,2023-12-01 13:00,buy,trend,-1.000,sl,1.25
2023-12-01 10:45,2023-12-01 13:15,buy,trend,-1.000,sl,2.50
2023-12-01 12:45,2023-12-01 13:30,buy,trend,-1.000,sl,0.75
