open,close,dir,entry,sl,tp,exit,r,why,hold_h
2023-04-04 21:30,2023-04-05 16:45,buy,2021.13,2021.44,2039.72,2021.44,0.050,sl,18.25
2023-04-05 21:00,2023-04-06 04:00,buy,2021.83,2015.54,2040.67,2015.54,-1.000,sl,6.00
2023-04-12 20:45,2023-04-13 15:15,buy,2011.60,2011.90,2030.04,2030.04,3.000,tp,17.50
2023-04-13 15:45,2023-04-13 17:30,buy,2045.17,2039.08,2063.42,2039.08,-1.000,sl,1.75
2023-04-13 22:45,2023-04-14 08:30,buy,2040.62,2040.81,2052.15,2040.81,0.050,sl,8.75
2023-05-04 16:30,2023-05-05 10:30,buy,2041.02,2041.39,2063.25,2041.39,0.050,sl,17.00
2023-05-09 16:45,2023-05-09 17:15,buy,2030.45,2025.88,2044.14,2025.88,-1.000,sl,0.50
2023-05-10 16:45,2023-05-10 17:45,buy,2038.09,2028.54,2066.72,2028.54,-1.000,sl,1.00
2023-07-06 22:45,2023-07-07 08:00,sell,1910.06,1912.71,1902.12,1912.71,-1.000,sl,8.25
2023-08-18 19:30,2023-08-21 05:15,sell,1889.77,1889.55,1876.74,1889.55,0.050,sl,8.75
2023-08-21 16:45,2023-08-21 20:30,sell,1889.96,1895.00,1874.85,1895.00,-1.000,sl,3.75
2023-10-02 15:00,2023-10-03 02:15,sell,1836.80,1836.55,1822.30,1822.30,3.000,tp,10.25
2023-10-03 15:30,2023-10-03 16:30,sell,1825.01,1829.11,1812.70,1829.11,-1.000,sl,1.00
2023-10-03 22:00,2023-10-04 11:00,sell,1823.67,1823.45,1810.62,1823.45,0.050,sl,12.00
2023-10-04 16:45,2023-10-04 18:15,sell,1820.27,1826.15,1802.61,1826.15,-1.000,sl,1.50
2023-10-05 18:15,2023-10-06 05:15,sell,1816.02,1823.25,1794.31,1823.25,-1.000,sl,10.00
2023-11-03 17:00,2023-11-06 05:15,buy,1995.48,1985.18,2026.39,1985.18,-1.000,sl,10.25
2023-11-21 19:45,2023-11-21 21:00,buy,2001.58,1996.34,2017.27,1996.34,-1.000,sl,1.25
2023-11-22 16:30,2023-11-22 17:00,buy,2001.98,1997.57,2015.19,1997.57,-1.000,sl,0.50
2023-11-24 15:15,2023-11-24 17:30,buy,1998.03,1998.18,2006.58,1998.18,0.050,sl,2.25
2023-11-27 15:15,2023-11-27 15:30,buy,2014.65,2011.26,2024.80,2011.26,-1.000,sl,0.25
2023-11-27 22:00,2023-11-28 09:45,buy,2013.40,2013.54,2021.82,2013.54,0.050,sl,10.75
2023-11-28 15:15,2023-11-28 16:15,buy,2016.46,2016.60,2024.97,2024.97,3.000,tp,1.00
2023-11-29 15:15,2023-11-29 15:30,buy,2042.25,2039.02,2051.94,2039.02,-1.000,sl,0.25
2023-12-01 16:45,2023-12-01 18:45,buy,2042.54,2042.81,2058.91,2058.91,3.000,tp,2.00
2023-12-18 19:45,2023-12-18 20:15,buy,2033.54,2027.69,2051.08,2027.69,-1.000,sl,0.50
2023-12-19 15:00,2023-12-19 16:45,buy,2030.83,2031.00,2041.44,2041.44,3.000,tp,1.75
2023-12-19 22:45,2023-12-20 04:00,buy,2040.35,2037.33,2049.41,2037.33,-1.000,sl,4.25
2023-12-20 16:45,2023-12-20 17:15,buy,2038.29,2032.34,2056.14,2032.34,-1.000,sl,0.50
2023-12-21 15:30,2023-12-21 16:00,buy,2043.27,2037.65,2060.11,2037.65,-1.000,sl,0.50
2023-12-21 21:30,2023-12-22 13:15,buy,2044.77,2045.01,2059.14,2059.14,3.000,tp,14.75
2023-12-22 15:45,2023-12-22 17:45,buy,2067.26,2059.32,2091.06,2059.32,-1.000,sl,2.00
2023-12-26 21:45,2023-12-27 12:30,buy,2061.81,2061.96,2070.65,2061.96,0.050,sl,13.75
2023-12-27 17:00,2023-12-28 04:45,buy,2072.20,2072.47,2088.41,2088.41,3.000,tp,10.75
2023-12-28 16:45,2023-12-28 19:00,buy,2079.15,2072.97,2097.69,2072.97,-1.000,sl,2.25
2024-01-02 16:45,2024-01-02 17:30,buy,2070.42,2062.60,2093.88,2062.60,-1.000,sl,0.75
