open,close,dir,entry,sl,tp,exit,r,reason,hold_h,level,sigma,lambda
2017-11-22 20:00,2017-11-30 10:45,buy,1291.09,1280.37,1308.90,1280.37,-1.000,sl,121.8,3,0.00624,0.000
2017-12-22 20:00,2017-12-28 07:15,buy,1275.52,1266.52,1291.57,1291.57,1.783,tp,48.5,3,0.00554,0.000
2017-12-29 01:00,2018-01-02 11:45,buy,1295.11,1287.01,1312.08,1312.08,2.095,tp,25.8,3,0.00546,0.000
2018-01-02 12:00,2018-01-12 06:15,buy,1312.39,1302.33,1328.38,1328.38,1.590,tp,178.5,3,0.00560,0.000
2018-01-12 12:00,2018-01-12 15:30,buy,1331.03,1322.34,1346.21,1322.34,-1.000,sl,3.8,3,0.00506,0.000
2018-01-12 20:00,2018-01-24 10:00,buy,1331.95,1322.34,1346.70,1346.70,1.535,tp,170.2,3,0.00516,0.000
2018-02-26 08:00,2018-02-27 15:00,buy,1339.97,1328.78,1362.73,1328.78,-1.000,sl,30.2,3,0.00716,0.000
2018-03-06 16:00,2018-03-08 17:00,buy,1332.33,1319.88,1354.50,1319.88,-1.000,sl,47.2,3,0.00735,0.000
2018-03-21 16:00,2018-03-23 02:45,buy,1320.73,1311.06,1337.96,1337.96,1.782,tp,31.0,3,0.00575,0.000
2018-03-23 04:00,2018-03-28 19:00,buy,1337.81,1328.61,1357.27,1328.61,-1.000,sl,83.2,3,0.00604,0.000
2018-04-02 16:00,2018-04-05 10:00,buy,1334.82,1325.04,1352.09,1325.04,-1.000,sl,63.2,3,0.00572,0.000
2018-04-13 20:00,2018-04-23 01:00,buy,1346.77,1334.87,1365.05,1334.87,-1.000,sl,119.2,3,0.00633,0.000
2018-05-10 16:00,2018-05-15 07:15,buy,1322.18,1312.36,1337.66,1312.36,-1.000,sl,60.5,3,0.00540,0.000
2018-06-14 16:00,2018-06-15 09:00,buy,1307.51,1299.46,1319.87,1299.46,-1.000,sl,16.2,3,0.00440,0.000
2018-07-09 16:00,2018-07-10 11:30,buy,1263.37,1254.56,1278.90,1254.56,-1.000,sl,18.8,3,0.00543,0.000
2018-07-25 16:00,2018-07-26 21:00,buy,1232.57,1224.45,1249.21,1224.45,-1.000,sl,28.2,3,0.00566,0.000
2018-08-24 16:00,2018-08-27 17:15,buy,1194.06,1185.27,1210.81,1210.81,1.906,tp,24.5,3,0.00604,0.000
2018-09-17 20:00,2018-09-21 16:00,buy,1202.67,1193.43,1219.45,1193.43,-1.000,sl,88.2,3,0.00611,0.000
2018-10-02 16:00,2018-10-08 15:15,buy,1198.14,1188.66,1214.72,1188.66,-1.000,sl,91.5,3,0.00614,0.000
2018-11-16 16:00,2018-11-27 18:15,buy,1223.28,1212.69,1238.59,1212.69,-1.000,sl,156.2,3,0.00598,0.000
2018-12-03 12:00,2018-12-07 15:30,buy,1231.87,1221.96,1245.55,1245.55,1.380,tp,95.8,3,0.00541,0.000
2018-12-07 20:00,2018-12-14 09:30,buy,1246.81,1237.76,1259.88,1237.76,-1.000,sl,104.8,3,0.00501,0.000
2018-12-24 08:00,2018-12-26 18:00,buy,1263.65,1255.38,1278.94,1278.94,1.849,tp,24.8,3,0.00526,0.000
2018-12-27 16:00,2019-01-03 08:15,buy,1276.02,1266.78,1290.55,1290.55,1.572,tp,76.5,3,0.00526,0.000
2019-01-04 01:00,2019-01-04 16:00,buy,1294.22,1284.60,1308.35,1284.60,-1.000,sl,15.2,3,0.00518,0.000
2019-01-07 16:00,2019-01-08 05:30,buy,1292.57,1284.53,1309.00,1284.53,-1.000,sl,12.8,3,0.00534,0.000
2019-01-10 01:00,2019-01-18 11:15,buy,1293.18,1285.04,1310.64,1285.04,-1.000,sl,148.5,3,0.00558,0.000
2019-01-30 01:00,2019-02-07 06:30,buy,1311.91,1303.21,1327.13,1303.21,-1.000,sl,143.8,3,0.00514,0.000
2019-02-14 20:00,2019-02-19 10:15,buy,1314.28,1305.88,1328.22,1328.22,1.659,tp,55.5,3,0.00479,0.000
2019-02-22 20:00,2019-02-27 16:30,buy,1332.96,1323.30,1348.64,1323.30,-1.000,sl,64.2,3,0.00536,0.000
2019-03-13 01:00,2019-03-14 15:00,buy,1301.40,1293.27,1318.85,1293.27,-1.000,sl,36.2,3,0.00554,0.000
2019-03-15 16:00,2019-03-25 16:15,buy,1304.82,1296.08,1321.89,1321.89,1.953,tp,132.5,3,0.00558,0.000
2019-03-25 20:00,2019-03-26 13:30,buy,1322.89,1313.07,1338.17,1313.07,-1.000,sl,15.8,3,0.00535,0.000
2019-05-23 16:00,2019-05-31 12:30,buy,1282.98,1273.41,1296.76,1296.76,1.440,tp,130.8,3,0.00514,0.000
2019-05-31 16:00,2019-06-03 05:15,buy,1297.45,1288.41,1312.32,1312.32,1.645,tp,12.5,3,0.00520,0.000
2019-06-03 08:00,2019-06-05 09:15,buy,1312.78,1305.13,1329.20,1329.20,2.147,tp,47.5,3,0.00517,0.000
2019-06-06 20:00,2019-06-10 04:15,buy,1339.44,1330.09,1356.59,1330.09,-1.000,sl,30.5,3,0.00558,0.000
2019-06-12 12:00,2019-06-14 09:15,buy,1337.85,1326.65,1353.94,1353.94,1.437,tp,43.5,3,0.00576,0.000
2019-06-20 04:00,2019-06-20 04:00,buy,1371.59,1359.64,1392.30,1392.30,1.733,tp,0.2,3,0.00673,0.000
2019-07-03 04:00,2019-07-03 14:30,buy,1434.78,1418.00,1465.94,1418.00,-1.000,sl,10.8,3,0.00947,0.000
2019-07-10 20:00,2019-07-18 22:15,buy,1412.20,1397.51,1446.54,1446.54,2.338,tp,140.5,3,0.00983,0.000
2019-07-19 01:00,2019-07-19 17:45,buy,1445.90,1426.21,1478.37,1426.21,-1.000,sl,17.0,3,0.01024,0.000
2019-08-05 12:00,2019-08-07 09:30,buy,1457.47,1440.32,1490.21,1490.21,1.909,tp,43.8,3,0.00970,0.000
2019-08-13 01:00,2019-08-13 16:45,buy,1511.97,1497.02,1546.78,1497.02,-1.000,sl,16.0,3,0.00931,0.000
2019-08-26 04:00,2019-08-26 11:30,buy,1545.14,1526.25,1581.39,1526.25,-1.000,sl,7.8,3,0.01012,0.000
