open,close,dir,entry,sl,tp,exit,r,reason,hold_min
2025-09-10 12:45,2025-09-10 13:30,buy,3651.29,3647.06,3657.00,3657.00,1.352,tp,60
2025-09-10 21:30,2025-09-10 21:45,buy,3648.82,3644.78,3654.26,3644.78,-1.000,sl,30
2025-09-10 22:45,2025-09-10 22:45,sell,3637.45,3640.79,3633.06,3640.79,-1.000,sl,15
2025-09-11 05:00,2025-09-11 05:30,sell,3640.77,3644.29,3636.12,3636.12,1.322,tp,45
2025-09-11 06:45,2025-09-11 08:45,sell,3630.63,3634.88,3624.88,3624.88,1.353,tp,135
2025-09-12 04:00,2025-09-12 04:00,buy,3636.82,3634.05,3640.34,3640.34,1.274,tp,15
2025-09-12 04:45,2025-09-12 05:15,buy,3645.78,3642.38,3650.25,3649.81,1.187,lock_target,45
2025-10-15 08:00,2025-10-15 11:45,buy,4179.94,4139.67,4239.72,4208.05,0.698,time,240
2025-10-15 17:15,2025-10-15 17:30,buy,4208.66,4197.39,4224.93,4197.39,-1.000,sl,30
2025-10-15 21:15,2025-10-15 23:45,buy,4200.32,4189.70,4215.62,4207.45,0.672,eod,165
2025-10-16 01:45,2025-10-16 02:00,buy,4215.54,4209.12,4224.55,4209.12,-1.000,sl,30
2025-10-16 03:30,2025-10-16 03:45,buy,4223.41,4216.64,4232.93,4216.64,-1.000,sl,30
2025-10-16 04:45,2025-10-16 04:45,buy,4231.02,4222.47,4243.21,4230.09,-0.109,lock_stop,15
2025-10-17 01:15,2025-10-17 01:15,buy,4349.91,4337.66,4367.66,4367.66,1.449,tp,15
2025-10-17 07:00,2025-10-17 08:30,buy,4366.76,4346.98,4395.80,4346.98,-1.000,sl,105
2025-10-17 17:15,2025-10-17 17:15,sell,4217.40,4242.76,4179.98,4242.76,-1.000,sl,15
2025-10-17 19:30,2025-10-17 21:00,sell,4214.27,4240.72,4175.22,4240.72,-1.000,sl,105
2025-10-20 03:00,2025-10-20 04:00,sell,4237.55,4250.92,4218.12,4250.92,-1.000,sl,75
2025-10-20 09:00,2025-10-20 09:30,sell,4239.65,4249.13,4226.06,4226.06,1.434,tp,45
2025-10-20 15:00,2025-10-20 15:15,buy,4279.65,4271.13,4291.80,4291.80,1.427,tp,30
2025-10-20 15:45,2025-10-20 15:45,buy,4320.28,4308.99,4336.59,4323.53,0.288,lock_target,15
2025-10-21 10:45,2025-10-21 11:00,sell,4300.40,4312.15,4283.40,4283.40,1.447,tp,30
2025-10-21 15:15,2025-10-21 15:45,sell,4225.16,4240.68,4202.50,4210.98,0.913,lock_target,45
2025-10-22 03:00,2025-10-22 03:00,sell,4092.71,4104.87,4075.10,4075.10,1.449,tp,15
2025-10-22 11:15,2025-10-22 11:15,sell,4087.40,4103.30,4064.18,4103.30,-1.000,sl,15
2025-10-22 13:45,2025-10-22 14:00,sell,4053.69,4078.74,4016.74,4016.74,1.475,tp,30
2025-10-22 18:00,2025-10-22 18:00,sell,4014.70,4037.94,3980.47,4037.94,-1.000,sl,15
2025-10-23 06:30,2025-10-23 07:15,buy,4095.77,4083.57,4113.44,4083.57,-1.000,sl,60
2025-10-23 08:45,2025-10-23 08:45,buy,4096.78,4088.20,4109.02,4109.02,1.427,tp,15
2025-10-23 09:15,2025-10-23 09:30,buy,4130.04,4120.02,4144.45,4120.02,-1.000,sl,30
2025-10-23 12:30,2025-10-23 13:15,buy,4122.29,4109.16,4141.35,4109.16,-1.000,sl,60
2025-10-23 16:15,2025-10-23 17:00,buy,4135.26,4123.67,4152.01,4152.01,1.446,tp,60
2025-10-24 03:30,2025-10-24 04:30,buy,4133.03,4123.38,4146.88,4123.38,-1.000,sl,75
2025-10-24 07:30,2025-10-24 08:00,sell,4106.53,4116.53,4092.15,4116.53,-1.000,sl,45
2025-10-24 09:15,2025-10-24 09:15,sell,4082.98,4092.15,4069.85,4089.63,-0.725,lock_stop,15
2025-10-27 06:15,2025-10-27 06:45,sell,4057.12,4068.47,4040.72,4068.47,-1.000,sl,45
2025-10-27 09:30,2025-10-27 10:45,sell,4068.02,4077.08,4055.05,4055.05,1.431,tp,90
2025-10-27 13:45,2025-10-27 14:00,sell,4020.36,4034.70,3999.47,4034.70,-1.000,sl,30
2025-10-27 16:15,2025-10-27 16:30,sell,4004.60,4018.33,3984.62,3984.62,1.454,tp,30
2025-10-27 17:15,2025-10-27 18:00,sell,3978.47,3993.90,3955.95,3993.90,-1.000,sl,60
2025-10-27 21:30,2025-10-27 22:15,sell,3988.95,3998.60,3975.10,3998.60,-1.000,sl,60
2025-10-28 05:00,2025-10-28 06:15,sell,3983.37,3995.52,3965.77,3965.77,1.449,tp,90
2025-10-28 07:45,2025-10-28 08:15,sell,3960.23,3971.98,3943.23,3952.79,0.633,lock_target,45
2025-10-29 00:15,2025-10-29 00:15,sell,3936.29,3947.13,3920.66,3947.13,-1.000,sl,15
2025-10-29 02:30,2025-10-29 04:30,buy,3971.11,3957.73,3990.55,3957.73,-1.000,sl,135
2025-10-29 08:15,2025-10-29 08:45,buy,3968.86,3959.20,3982.73,3982.73,1.435,tp,45
2025-10-29 09:15,2025-10-29 10:15,buy,3995.19,3984.47,4010.64,4010.64,1.442,tp,75
2025-10-29 11:00,2025-10-29 14:00,buy,4016.61,4006.45,4031.23,4028.32,1.152,lock_target,195
2025-10-30 04:15,2025-10-30 05:00,sell,3935.84,3948.81,3917.02,3917.02,1.452,tp,60
